,Rating,Type,Size,Reviews,Installs
1905,4.5,Free,14,21892,"1,000,000+"
1906,4.5,Free,100,6074627,"100,000,000+"
1907,4.4,Free,Varies with devic,104303,"10,000,000+"
1908,4.4,Free,97,5566908,"100,000,000+"
1909,4.6,Free,Varies with devic,1480182,"10,000,000+"
1910,4.6,Free,Varies with devic,2750645,"100,000,000+"
1911,4.4,Free,15,47644,"5,000,000+"
1912,4.6,Free,33,125647,"10,000,000+"
1913,4.2,Free,Varies with devic,4355,"1,000,000+"
1914,4.4,Free,70,2119235,"50,000,000+"
1915,4.6,Free,10,214878,"10,000,000+"
1916,4.6,Free,77,811040,"10,000,000+"
1917,4.7,Free,Varies with devic,1536349,"50,000,000+"
1918,4.5,Free,Varies with devic,592504,"50,000,000+"
1919,4.2,Free,4.9,17044,"5,000,000+"
1920,4.6,Free,Varies with devic,155186,"10,000,000+"
1921,4.7,Free,25,1125566,"10,000,000+"
1922,4.6,Free,96,5419676,"100,000,000+"
1923,4.3,Free,23,34494,"5,000,000+"
1924,4.6,Free,51,260651,"10,000,000+"
1925,4.4,Free,96,4638163,"100,000,000+"
1926,4.4,Free,Varies with devic,4921409,"100,000,000+"
1927,4.5,Free,Varies with devic,1468638,"50,000,000+"
1928,4.2,Free,Varies with devic,344585,"50,000,000+"
1929,4.4,Free,70,7614407,"100,000,000+"
1930,4.3,Free,38,234110,"50,000,000+"
1931,4.7,Free,24,48615,"10,000,000+"
1932,4.5,Free,Varies with devic,470694,"50,000,000+"
1933,4.4,Free,20,42145,"10,000,000+"
1934,4.5,Free,67,4449910,"100,000,000+"
1935,4.4,Free,19,14774,"1,000,000+"
1936,4.4,Free,51,12753,"5,000,000+"
1937,4.5,Free,22,33983,"5,000,000+"
1938,4.6,Free,46,20267,"1,000,000+"
1939,4.5,Free,21,5761,"1,000,000+"
1940,4.3,Free,39,11618,"5,000,000+"
1941,4.7,Free,23,12948,"1,000,000+"
1942,4.4,Free,26,685,"100,000+"
1943,4.5,Free,39,9779,"5,000,000+"
1944,4.2,Free,24,369378,"50,000,000+"
1945,4.5,Free,15,11436,"1,000,000+"
1946,4.5,Free,20,2150,"500,000+"
1947,4.7,Free,24,48615,"10,000,000+"
1948,4.4,Free,44,382,"500,000+"
1949,4.3,Free,38,24936,"5,000,000+"
1950,4.6,Free,52,1109,"1,000,000+"
1951,3.9,Free,14,974,"500,000+"
1952,4.2,Free,49,108795,"10,000,000+"
1953,4.5,Free,8.9,1455,"500,000+"
1954,4.3,Free,Varies with devic,1024,"1,000,000+"
1955,4.5,Free,56,1014822,"50,000,000+"
1956,4.4,Free,99,86961,"10,000,000+"
1957,4.4,Free,10,7320,"1,000,000+"
1958,4.8,Free,6.9,269194,"10,000,000+"
1959,4.4,Free,20,59843,"5,000,000+"
1960,4.4,Free,10,18616,"1,000,000+"
1961,4.3,Free,19,11950,"5,000,000+"
1962,4.6,Free,33,4289,"500,000+"
1963,4.1,Free,85,68286,"10,000,000+"
1964,4.5,Free,48,11716,"1,000,000+"
1965,4.5,Free,9.6,3323,"1,000,000+"
1966,4.5,Free,Varies with devic,36606,"10,000,000+"
1967,4.0,Free,15,328619,"10,000,000+"
1968,4.5,Free,Varies with devic,10216997,"100,000,000+"
1969,4.6,Free,50,46741,"10,000,000+"
1970,4.5,Free,51,530854,"10,000,000+"
1971,4.5,Free,24,7050,"1,000,000+"
1972,4.5,Free,13,235906,"10,000,000+"
1973,4.4,Free,16,17753,"1,000,000+"
1974,4.7,Free,Varies with devic,6294400,"100,000,000+"
1975,4.5,Free,Varies with devic,520609,"10,000,000+"
1976,4.5,Free,63,432,"100,000+"
1977,4.2,Free,15,32029,"5,000,000+"
1978,4.3,Free,26,4207,"100,000+"
1979,4.5,Free,81,64,"10,000+"
1980,4.2,Paid,79,96,"5,000+"
1981,4.3,Free,Varies with devic,82471,"5,000,000+"
1982,4.4,Free,94,496,"100,000+"
1983,4.6,Free,46,20267,"1,000,000+"
1984,4.6,Free,43,29436,"1,000,000+"
1985,4.5,Free,45,19230,"5,000,000+"
1986,4.2,Free,91,11126,"1,000,000+"
1987,4.5,Free,91,23671,"1,000,000+"
1988,4.6,Free,53,9652,"1,000,000+"
1989,4.6,Free,28,9626,"1,000,000+"
1990,4.1,Free,26,29319,"5,000,000+"
1991,4.5,Free,56,1791,"500,000+"
1992,4.6,Free,80,9199,"500,000+"
1993,4.6,Free,60,14014,"1,000,000+"
1994,4.5,Free,Varies with devic,110877,"1,000,000+"
1995,4.3,Free,67,160,"50,000+"
1996,3.8,Free,78,10366,"1,000,000+"
1997,4.5,Free,27,47644,"1,000,000+"
1998,4.1,Free,Varies with devic,530792,"10,000,000+"
1999,4.8,Free,63,12137,"100,000+"
2000,3.9,Free,26,237,"100,000+"
2001,4.5,Free,46,6404,"500,000+"
2002,4.4,Free,83,6356,"500,000+"
2003,4.3,Paid,60,169,"5,000+"
2004,4.2,Paid,44,8,"1,000+"
2005,3.0,Paid,82,2,500+
2006,4.5,Free,67,4450855,"100,000,000+"
2007,4.4,Free,99,86961,"10,000,000+"
2008,4.5,Free,Varies with devic,10216997,"100,000,000+"
2009,4.7,Free,24,48701,"10,000,000+"
2010,4.1,Free,78,15246,"1,000,000+"
2011,4.5,Free,Varies with devic,520654,"10,000,000+"
2012,4.5,Free,Varies with devic,4076,"100,000+"
2013,4.5,Free,51,530904,"10,000,000+"
2014,4.6,Free,94,106750,"1,000,000+"
2015,4.3,Free,16,33785,"5,000,000+"
2016,4.3,Free,93,4207,"500,000+"
2017,4.5,Free,77,58795,"10,000,000+"
2018,4.2,Free,32,3235,"1,000,000+"
2019,4.2,Free,58,47031,"1,000,000+"
2020,4.4,Free,48,131,"100,000+"
2021,4.5,Free,69,114,"50,000+"
2022,4.1,Free,73,673203,"50,000,000+"
2023,4.2,Free,99,2178,"500,000+"
2024,4.1,Free,16,175625,"10,000,000+"
2025,4.7,Free,54,8508,"500,000+"
2026,4.3,Free,56,3484,"1,000,000+"
2027,4.4,Free,68,379415,"10,000,000+"
2028,4.4,Free,25,19245,"1,000,000+"
2029,4.3,Free,54,24877,"5,000,000+"
2030,4.4,Free,51,765,"1,000,000+"
2031,4.3,Free,Varies with devic,10088,"1,000,000+"
2032,4.3,Free,48,525552,"10,000,000+"
2033,4.2,Free,44,3762,"1,000,000+"
2034,4.2,Free,8.7,141363,"10,000,000+"
2035,4.3,Free,91,472584,"10,000,000+"
2036,4.3,Free,97,1329192,"50,000,000+"
2037,4.1,Free,26,148295,"10,000,000+"
2038,4.2,Free,16,41273,"5,000,000+"
2039,4.5,Free,Varies with devic,278,"100,000+"
2040,4.3,Free,53,392596,"10,000,000+"
2041,4.3,Free,95,43060,"5,000,000+"
2042,4.5,Free,83,514088,"10,000,000+"
2043,4.1,Free,78,41867,"1,000,000+"
2044,4.5,Free,56,1014846,"50,000,000+"
2045,4.2,Free,21,23060,"1,000,000+"
2046,4.4,Free,26,112080,"10,000,000+"
2047,4.0,Free,60,15489,"1,000,000+"
2048,4.1,Free,22,51895,"10,000,000+"
2049,4.3,Free,95,43060,"5,000,000+"
2050,4.3,Free,48,525552,"10,000,000+"
2051,4.4,Free,58,623398,"10,000,000+"
2052,4.3,Free,91,472584,"10,000,000+"
2053,4.1,Free,22,66661,"5,000,000+"
2054,4.0,Free,36,10447,"1,000,000+"
2055,4.3,Free,37,1574197,"50,000,000+"
2056,4.6,Free,70,19170,"1,000,000+"
2057,4.3,Free,34,169609,"10,000,000+"
2058,4.7,Free,49,6188,"500,000+"
2059,4.3,Free,9.8,1369,"500,000+"
2060,4.4,Free,37,2952,"500,000+"
2061,4.2,Free,Varies with devic,731,"100,000+"
2062,4.7,Free,55,9856,"100,000+"
2063,3.9,Free,84,10753,"1,000,000+"
2064,4.1,Free,16,154,"10,000+"
2065,4.1,Free,92,288523,"10,000,000+"
2066,4.1,Free,57,4522,"500,000+"
2067,4.2,Paid,Varies with devic,3328,"100,000+"
2068,4.7,Paid,24,31100,"500,000+"
2069,4.4,Paid,6.9,854,"10,000+"
2070,4.3,Paid,44,560,"10,000+"
2071,4.5,Paid,11,197,"1,000+"
2072,4.3,Free,16,63186,"10,000,000+"
2073,4.3,Free,17,23772,"5,000,000+"
2074,4.1,Free,18,6007,"1,000,000+"
2075,4.1,Free,16,2903,"1,000,000+"
2076,4.1,Free,19,3617,"1,000,000+"
2077,4.6,Free,1.6,3063,"100,000+"
2078,4.1,Free,47,3234,"100,000+"
2079,4.4,Free,16,276,"50,000+"
2080,4.4,Free,14,1595,"500,000+"
2081,4.3,Free,Varies with devic,879,"100,000+"
2082,4.0,Free,75,68559,"5,000,000+"
2083,4.8,Free,25,61,"1,000+"
2084,3.8,Free,5.7,1123,"100,000+"
2085,4.7,Paid,Varies with devic,30,"1,000+"
2086,4.5,Free,17,566,"50,000+"
2087,4.8,Paid,3.5,97,"1,000+"
2088,4.4,Paid,16,38,100+
2089,4.8,Paid,42,4,100+
2090,4.2,Paid,47,38,"1,000+"
2091,4.2,Paid,67,214,"5,000+"
2092,4.0,Paid,26,248,"5,000+"
2093,4.7,Paid,72,185,"1,000+"
2094,4.7,Paid,37,2195,"10,000+"
2095,3.9,Paid,1.2,1615,"10,000+"
2096,4.5,Paid,17,359,"5,000+"
2097,4.1,Free,19,38021,"10,000,000+"
2098,4.4,Free,23,6190,"1,000,000+"
2099,3.9,Free,25,6903,"1,000,000+"
2100,4.4,Free,83,13155,"1,000,000+"
2101,4.4,Free,94,496,"100,000+"
2102,3.6,Free,97,418,"100,000+"
2103,4.4,Free,37,1160,"100,000+"
2104,4.1,Free,92,59917,"5,000,000+"
2105,3.6,Free,48,1042,"100,000+"
2106,4.6,Paid,12,73,"1,000+"
2107,4.3,Paid,15,382,"10,000+"
2108,4.5,Paid,83,253,"10,000+"
2109,4.4,Paid,9.5,3396,"50,000+"
2110,4.1,Free,19,38021,"10,000,000+"
2111,4.4,Free,23,6190,"1,000,000+"
2112,3.9,Free,25,6903,"1,000,000+"
2113,4.4,Free,83,13155,"1,000,000+"
2114,4.4,Free,94,496,"100,000+"
2115,3.6,Free,97,418,"100,000+"
2116,4.4,Free,37,1160,"100,000+"
2117,4.1,Free,92,59917,"5,000,000+"
2118,3.6,Free,48,1042,"100,000+"
2119,4.6,Paid,12,73,"1,000+"
2120,4.3,Paid,15,382,"10,000+"
2121,4.5,Paid,83,253,"10,000+"
2122,4.4,Paid,9.5,3396,"50,000+"
2123,4.5,Free,67,4450890,"100,000,000+"
2124,4.1,Free,Varies with devic,182173,"10,000,000+"
2125,4.5,Free,Varies with devic,470713,"50,000,000+"
2126,4.1,Free,Varies with devic,59729,"10,000,000+"
2127,3.9,Free,63,133117,"5,000,000+"
2128,4.2,Free,49,108795,"10,000,000+"
2129,4.1,Free,14,47213,"5,000,000+"
2130,3.9,Free,58,95537,"10,000,000+"
2131,4.1,Free,22,66660,"5,000,000+"
2132,4.2,Free,15,51838,"5,000,000+"
2133,4.7,Free,Varies with devic,6294397,"100,000,000+"
2134,3.8,Free,50,36028,"5,000,000+"
2135,4.3,Free,59,528745,"10,000,000+"
2136,4.3,Free,34,169609,"10,000,000+"
2137,4.3,Free,Varies with devic,82471,"5,000,000+"
2138,3.9,Free,54,44062,"1,000,000+"
2139,4.3,Free,53,392596,"10,000,000+"
2140,4.0,Free,Varies with devic,79667,"10,000,000+"
2141,4.0,Free,Varies with devic,20763,"5,000,000+"
2142,4.3,Free,37,1574204,"50,000,000+"
2143,4.2,Free,25,123322,"10,000,000+"
2144,4.1,Free,26,29319,"5,000,000+"
2145,4.0,Free,61,8126,"1,000,000+"
2146,4.4,Free,58,623398,"10,000,000+"
2147,4.3,Free,91,50887,"5,000,000+"
2148,4.3,Free,17,63160,"1,000,000+"
2149,4.4,Free,83,13155,"1,000,000+"
2150,4.2,Free,17,28737,"1,000,000+"
2151,4.1,Free,Varies with devic,530792,"10,000,000+"
2152,4.3,Free,64,45579,"1,000,000+"
2153,4.2,Free,41,19720,"1,000,000+"
2154,4.6,Free,58,361970,"5,000,000+"
2155,4.1,Free,23,159619,"5,000,000+"
2156,4.5,Free,71,354384,"10,000,000+"
2157,4.4,Free,Varies with devic,272321,"10,000,000+"
2158,4.5,Paid,Varies with devic,2376564,"10,000,000+"
2159,4.3,Paid,23,129603,"1,000,000+"
2160,4.2,Paid,12,1135,"100,000+"
2161,4.4,Paid,704,578,"10,000+"
2162,4.6,Paid,2.9,129,"10,000+"
2163,4.5,Paid,25,63,"10,000+"
2164,4.8,Paid,Varies with devic,216,"10,000+"
2165,4.5,Paid,20,171,"10,000+"
2166,3.2,Paid,21,45,"5,000+"
2167,4.6,Paid,5.4,717,"5,000+"
2168,4.5,Paid,25,2921,"100,000+"
2169,4.1,Paid,42,1533,"50,000+"
2170,4.6,Paid,32,92,"1,000+"
2171,4.5,Paid,1.8,199,"10,000+"
2172,4.4,Paid,33,1361,"50,000+"
2173,4.4,Paid,3.8,12,"1,000+"
2174,4.4,Paid,5.8,15,"1,000+"
2175,3.8,Paid,9.5,206,"10,000+"
2176,4.6,Paid,19,395,"1,000+"
2177,2.5,Paid,Varies with devic,79,"1,000+"
2178,4.0,Paid,5.0,15,"1,000+"
2179,5.0,Paid,23,3,100+
2180,4.3,Paid,862,35,"5,000+"
2181,3.4,Paid,9.9,77,"5,000+"
2182,3.4,Paid,2.4,51,"1,000+"
2183,4.3,Paid,899,214,"10,000+"
2184,4.4,Paid,38,104,"1,000+"
2185,4.4,Paid,6.5,8,100+
2186,4.2,Paid,14,45,"1,000+"
2187,5.0,Paid,1.2,2,500+
2188,4.1,Paid,48,80,"5,000+"
2189,3.9,Paid,378,10,"1,000+"
2190,4.6,Paid,22,156,500+
2191,4.2,Paid,4.8,178,"1,000+"
2192,4.4,Paid,Varies with devic,576,"5,000+"
2193,4.2,Paid,25,168,"10,000+"
2194,3.6,Paid,266,25,"1,000+"
2195,4.5,Paid,375,163,"10,000+"
2196,4.7,Paid,1.2,25,"1,000+"
2197,4.6,Paid,Varies with devic,319,"5,000+"
2198,4.5,Paid,2.8,133,"10,000+"
2199,4.2,Paid,95,9,"1,000+"
2200,4.2,Paid,2.6,74,"1,000+"
2201,4.3,Paid,4.6,3,100+
2202,4.4,Paid,Varies with devic,4207,"50,000+"
2203,4.1,Paid,5.1,12,"1,000+"
2204,4.4,Paid,1.8,17,"1,000+"
2205,4.6,Paid,Varies with devic,358,"5,000+"
2206,4.4,Paid,Varies with devic,726,"5,000+"
2207,4.2,Paid,53,33,"1,000+"
2208,4.5,Paid,39,492,"10,000+"
2209,2.6,Paid,14,41,"1,000+"
2210,4.6,Paid,8.4,625,"10,000+"
2211,4.8,Paid,18,12,"1,000+"
2212,4.2,Paid,41,64,"1,000+"
2213,4.7,Paid,100,11,500+
2214,3.0,Paid,3.4,4,500+
2215,3.5,Paid,68,214,"1,000+"
2216,4.6,Paid,2.6,66,"5,000+"
2217,4.8,Free,11,59158,"1,000,000+"
2218,4.2,Free,Varies with devic,19473,"1,000,000+"
2219,4.6,Free,37,73118,"1,000,000+"
2220,4.4,Free,Varies with devic,27524,"1,000,000+"
2221,4.8,Free,9.8,102858,"1,000,000+"
2222,4.0,Free,23,2094,"500,000+"
2223,3.7,Free,18,236,"50,000+"
2224,4.2,Free,7.4,33033,"5,000,000+"
2225,4.8,Free,11,78825,"1,000,000+"
2226,4.7,Free,Varies with devic,18674,"1,000,000+"
2227,3.5,Free,23,250,"100,000+"
2228,3.9,Free,34,6266,"500,000+"
2229,4.2,Free,15,22,"10,000+"
2230,4.8,Free,13,53743,"1,000,000+"
2231,2.7,Free,24,2657,"500,000+"
2232,4.2,Free,20,4476,"500,000+"
2233,4.7,Free,14,156410,"5,000,000+"
2234,4.6,Free,69,2006,"50,000+"
2235,4.5,Free,38,6099,"500,000+"
2236,4.7,Free,26,23160,"1,000,000+"
2237,4.7,Free,2.6,8348,"500,000+"
2238,4.5,Free,21,7837,"100,000+"
2239,4.7,Free,38,6185,"100,000+"
2240,4.0,Free,16,3803,"100,000+"
2241,3.4,Free,21,1838,"100,000+"
2242,3.5,Free,10,3707,"500,000+"
2243,3.0,Free,22,315,"100,000+"
2244,4.7,Free,14,87418,"1,000,000+"
2245,4.6,Free,36,21189,"1,000,000+"
2246,4.2,Free,16,1746,"50,000+"
2247,4.8,Free,61,69126,"1,000,000+"
2248,4.5,Free,11,453,"100,000+"
2249,4.2,Free,8.5,10710,"100,000+"
2250,3.8,Free,37,700,"100,000+"
2251,3.0,Free,Varies with devic,914,"100,000+"
2252,4.4,Free,Varies with devic,15875,"1,000,000+"
2253,4.5,Free,22,503,"50,000+"
2254,4.0,Free,17,488,"100,000+"
2255,3.6,Free,7.7,190,"100,000+"
2256,4.4,Free,39,15,"1,000+"
2257,4.7,Free,30,26862,"500,000+"
2258,4.9,Free,3.7,100082,"1,000,000+"
2259,3.6,Free,28,27,"10,000+"
2260,4.5,Free,16,72167,"1,000,000+"
2261,4.1,Free,20,21,"1,000+"
2262,4.6,Free,8.9,6035,"100,000+"
2263,4.7,Free,97,9945,"500,000+"
2264,4.7,Free,12,4318,"100,000+"
2265,2.8,Free,72,78,"50,000+"
2266,4.3,Free,Varies with devic,2218,"500,000+"
2267,4.6,Free,21,47,"10,000+"
2268,4.3,Free,Varies with devic,23889,"1,000,000+"
2269,3.4,Free,27,650,"100,000+"
2270,4.0,Free,6.6,3498,"100,000+"
2271,4.8,Free,12,3052,"100,000+"
2272,4.2,Free,5.9,1747,"100,000+"
2273,3.0,Free,20,45,"5,000+"
2274,4.5,Free,15,1686,"100,000+"
2275,3.7,Free,26,529,"100,000+"
2276,4.5,Free,3.3,1388,"100,000+"
2277,4.5,Free,44,572,"50,000+"
2278,4.6,Paid,32,92,"1,000+"
2279,4.2,Paid,12,1135,"100,000+"
2280,4.6,Free,36,21189,"1,000,000+"
2281,3.6,Free,17,54,"5,000+"
2282,4.4,Free,5.8,275,"10,000+"
2283,4.4,Free,11,2159,"10,000+"
2284,4.5,Free,16,2951,"50,000+"
2285,4.5,Paid,25,2921,"100,000+"
2286,4.1,Free,6.1,84,"10,000+"
2287,4.6,Free,Varies with devic,15545,"100,000+"
2288,4.3,Free,22,5521,"100,000+"
2289,4.3,Free,28,2108,"50,000+"
2290,4.7,Free,6.3,73,"10,000+"
2291,4.5,Paid,25,63,"10,000+"
2292,4.5,Free,60,408,"50,000+"
2293,4.5,Paid,20,171,"10,000+"
2294,4.2,Free,8.0,33,"10,000+"
2295,4.4,Free,20,197,"10,000+"
2296,3.9,Free,6.4,272,"50,000+"
2297,4.2,Free,34,4852,"100,000+"
2298,4.4,Paid,3.8,12,"1,000+"
2299,4.1,Paid,42,1533,"50,000+"
2300,3.4,Paid,2.4,51,"1,000+"
2301,4.1,Free,70,38,"5,000+"
2302,4.0,Paid,5.0,15,"1,000+"
2303,4.1,Free,21,90,"1,000+"
2304,3.5,Free,38,1288,"100,000+"
2305,4.2,Free,Varies with devic,4303,"100,000+"
2306,4.0,Free,74,1545,"100,000+"
2307,4.5,Paid,1.8,199,"10,000+"
2308,4.3,Free,12,283,"5,000+"
2309,4.3,Free,13,460,"10,000+"
2310,4.8,Paid,Varies with devic,216,"10,000+"
2311,4.6,Paid,2.9,129,"10,000+"
2312,4.1,Paid,48,80,"5,000+"
2313,4.6,Paid,19,395,"1,000+"
2314,3.5,Paid,68,214,"1,000+"
2315,2.3,Free,6.8,17,"1,000+"
2316,4.5,Free,12,513,"5,000+"
2317,4.3,Free,5.8,168,"10,000+"
2318,4.2,Paid,41,64,"1,000+"
2319,4.2,Paid,25,168,"10,000+"
2320,3.1,Free,42,82,"5,000+"
2321,4.4,Paid,6.5,8,100+
2322,4.4,Free,13,112,"1,000+"
2323,2.9,Free,1.5,92,"10,000+"
2324,3.1,Free,3.2,83,"10,000+"
2325,3.7,Free,7.7,3,"5,000+"
2326,4.0,Paid,1.3,6,100+
2327,3.8,Free,26,343,"50,000+"
2328,4.6,Paid,5.4,717,"5,000+"
2329,4.4,Free,11,137,"1,000+"
2330,3.8,Paid,9.5,206,"10,000+"
2331,4.8,Paid,18,12,"1,000+"
2332,4.3,Free,Varies with devic,4107,"100,000+"
2333,3.7,Free,2.9,9,500+
2334,5.0,Free,22,3,100+
2335,3.0,Free,16,2,500+
2336,3.7,Free,19,20,"1,000+"
2337,3.7,Free,10.0,3,100+
2338,5.0,Free,22,1,10+
2339,5.0,Free,20,3,100+
2340,5.0,Free,2.5,4,5+
2341,5.0,Free,24,2,50+
2342,5.0,Free,25,4,1+
2343,5.0,Free,29,2,50+
2344,5.0,Free,53,3,10+
2345,5.0,Free,83,2,10+
2346,5.0,Free,4.6,1,5+
2347,4.3,Free,46,10,100+
2348,4.9,Free,5.7,28,"5,000+"
2349,5.0,Free,4.2,1,10+
2350,4.9,Free,7.0,14,100+
2351,4.6,Free,11,5,100+
2352,5.0,Free,5.6,1,10+
2353,4.0,Free,3.3,1,10+
2354,5.0,Free,7.1,2,5+
2355,4.0,Free,23,2094,"500,000+"
2356,2.6,Free,24,496,"100,000+"
2357,4.7,Free,14,87418,"1,000,000+"
2358,4.8,Free,13,53747,"1,000,000+"
2359,4.3,Free,34,44,"10,000+"
2360,4.7,Free,4.3,10,"1,000+"
2361,2.5,Free,43,124,"10,000+"
2362,4.6,Free,69,2014,"50,000+"
2363,4.5,Free,22,503,"50,000+"
2364,4.1,Free,20,21,"1,000+"
2365,4.5,Free,25,11,"1,000+"
2366,4.3,Free,2.0,573,"100,000+"
2367,3.8,Free,37,700,"100,000+"
2368,4.4,Free,40,163,"10,000+"
2369,4.5,Free,17,330,"50,000+"
2370,4.5,Free,11,453,"100,000+"
2371,3.8,Free,4.4,24,"1,000+"
2372,4.5,Free,15,1686,"100,000+"
2373,4.0,Free,2.3,531,"100,000+"
2374,4.5,Free,40,20,"5,000+"
2375,3.7,Free,8.4,3596,"1,000,000+"
2376,4.3,Free,11,56,"10,000+"
2377,3.7,Free,2.9,9,500+
2378,4.4,Free,15,27,"5,000+"
2379,3.8,Free,24,63,"10,000+"
2380,2.7,Free,24,2657,"500,000+"
2381,5.0,Free,22,3,100+
2382,4.3,Free,86,123,"10,000+"
2383,3.8,Free,Varies with devic,122,"10,000+"
2384,3.0,Free,22,315,"100,000+"
2385,5.0,Free,11,2,100+
2386,3.6,Free,975,26,"5,000+"
2387,4.0,Free,980,122,"10,000+"
2388,4.3,Free,6.0,17,"10,000+"
2389,4.7,Free,20,623,"50,000+"
2390,5.0,Free,26,6,"1,000+"
2391,4.7,Free,13,6,"1,000+"
2392,4.6,Free,2.7,7,"1,000+"
2393,3.1,Free,4.2,253,"50,000+"
2394,4.4,Free,28,3786,"50,000+"
2395,5.0,Free,6.1,1,100+
2396,3.6,Free,15,10,"1,000+"
2397,2.8,Free,1.2,66,"50,000+"
2398,4.4,Free,37,65,"10,000+"
2399,4.2,Free,5.9,1747,"100,000+"
2400,4.6,Free,14,17,"1,000+"
2401,4.2,Free,2.3,28,"10,000+"
2402,3.8,Free,2.7,292,"100,000+"
2403,3.5,Free,2.2,19,"5,000+"
2404,4.7,Free,26,23160,"1,000,000+"
2405,4.1,Free,Varies with devic,78158306,"1,000,000,000+"
2406,4.5,Free,Varies with devic,66577313,"1,000,000,000+"
2407,4.3,Free,Varies with devic,8606259,"500,000,000+"
2408,4.4,Free,4.0,49173,"10,000,000+"
2409,4.4,Free,Varies with devic,2955326,"100,000,000+"
2410,4.2,Free,1.5,22492,"1,000,000+"
2411,4.0,Free,Varies with devic,17014787,"500,000,000+"
2412,4.3,Free,3.7,1403,"100,000+"
2413,4.6,Free,Varies with devic,4305441,"100,000,000+"
2414,4.4,Free,Varies with devic,441189,"10,000,000+"
2415,4.2,Free,Varies with devic,4831125,"1,000,000,000+"
2416,4.4,Free,2.8,4919,"1,000,000+"
2417,4.4,Free,3.9,13762,"1,000,000+"
2418,4.3,Free,3.1,6086,"1,000,000+"
2419,4.6,Free,Varies with devic,70616,"5,000,000+"
2420,4.4,Free,2.8,1200,"100,000+"
2421,4.5,Free,20,76480,"1,000,000+"
2422,4.6,Free,9.9,271445,"5,000,000+"
2423,4.6,Free,5.3,225103,"5,000,000+"
2424,4.6,Free,10,33177,"1,000,000+"
2425,4.4,Free,2.6,54768,"5,000,000+"
2426,4.5,Free,Varies with devic,457197,"10,000,000+"
2427,4.5,Free,31,25562,"5,000,000+"
2428,4.3,Free,2.3,16404,"1,000,000+"
2429,4.4,Free,6.0,2508,"500,000+"
2430,4.6,Free,17,79658,"5,000,000+"
2431,4.3,Free,20,374,"50,000+"
2432,4.8,Free,62,1259075,"10,000,000+"
2433,4.2,Free,Varies with devic,4751,"1,000,000+"
2434,4.6,Free,15,60562,"5,000,000+"
2435,4.0,Free,Varies with devic,22695,"1,000,000+"
2436,4.6,Free,18,22098,"1,000,000+"
2437,4.3,Free,5.4,231325,"10,000,000+"
2438,3.6,Free,2.8,13223,"10,000,000+"
2439,4.0,Free,15,479908,"10,000,000+"
2440,4.5,Free,Varies with devic,313633,"10,000,000+"
2441,4.4,Free,5.3,540930,"10,000,000+"
2442,4.5,Free,Varies with devic,57146,"1,000,000+"
2443,4.2,Free,Varies with devic,1225339,"100,000,000+"
2444,4.5,Free,37,19583,"1,000,000+"
2445,4.3,Free,Varies with devic,344921,"10,000,000+"
2446,4.2,Free,23,79129,"5,000,000+"
2447,4.2,Free,Varies with devic,83488,"5,000,000+"
2448,4.4,Free,Varies with devic,441189,"10,000,000+"
2449,4.3,Free,Varies with devic,3781770,"100,000,000+"
2450,4.3,Free,Varies with devic,315441,"10,000,000+"
2451,4.1,Free,28,382120,"10,000,000+"
2452,4.5,Free,35,412725,"10,000,000+"
2453,4.3,Free,Varies with devic,3806669,"100,000,000+"
2454,4.2,Free,76,1259849,"50,000,000+"
2455,4.1,Free,Varies with devic,486824,"10,000,000+"
2456,4.3,Free,34,1157004,"50,000,000+"
2457,4.2,Free,Varies with devic,423105,"10,000,000+"
2458,4.1,Free,Varies with devic,205803,"5,000,000+"
2459,4.1,Free,Varies with devic,285816,"10,000,000+"
2460,4.4,Free,Varies with devic,2955325,"100,000,000+"
2461,3.7,Free,2.7,138026,"5,000,000+"
2462,3.9,Free,Varies with devic,8936,"500,000+"
2463,3.7,Free,4.1,4253,"100,000+"
2464,4.0,Free,Varies with devic,17014705,"500,000,000+"
2465,4.5,Free,Varies with devic,66577446,"1,000,000,000+"
2466,3.6,Free,Varies with devic,14835,"1,000,000+"
2467,4.1,Free,Varies with devic,6388,"500,000+"
2468,4.1,Free,85,309872,"10,000,000+"
2469,4.0,Free,15,479909,"10,000,000+"
2470,4.1,Free,89,17955,"500,000+"
2471,4.0,Free,Varies with devic,17015352,"500,000,000+"
2472,4.5,Free,Varies with devic,66577313,"1,000,000,000+"
2473,4.6,Free,Varies with devic,4305441,"100,000,000+"
2474,4.3,Free,20,51502,"5,000,000+"
2475,4.3,Free,Varies with devic,1064049,"50,000,000+"
2476,4.2,Free,9.3,58341,"1,000,000+"
2477,4.5,Free,Varies with devic,637309,"10,000,000+"
2478,4.2,Free,76,1259894,"50,000,000+"
2479,4.3,Free,34,1157003,"50,000,000+"
2480,4.1,Free,16,161610,"5,000,000+"
2481,3.8,Free,Varies with devic,19446,"1,000,000+"
2482,4.2,Free,Varies with devic,1225367,"100,000,000+"
2483,4.4,Free,Varies with devic,1520959,"10,000,000+"
2484,4.3,Free,Varies with devic,3806669,"100,000,000+"
2485,4.2,Free,Varies with devic,423138,"10,000,000+"
2486,4.1,Free,Varies with devic,285820,"10,000,000+"
2487,4.0,Free,8.4,33249,"1,000,000+"
2488,4.3,Free,Varies with devic,3781770,"100,000,000+"
2489,4.3,Free,20,51504,"5,000,000+"
